"","Estimate"
"895",19463.8125072597
"896",11200.7133012133
"897",20869.2935095382
"898",58106.95808719
"899",40933.9033514144
"900",32060.3052394217
"901",32518.705979101
"902",52630.1143616624
"903",13441.0159012958
"904",11600.2304824076
"905",28879.9434241416
"906",16107.8665179553
"907",9693.33178791525
"908",25964.7550441125
"909",23817.3878170962
"910",27085.0396834088
"911",12697.7643807234
"912",27704.0978812294
"913",22235.0339317344
"914",32051.7861494198
"915",17858.2307652908
"916",49070.3500342375
"917",136953.984105029
"918",19448.3415217759
"919",40263.1470259716
"920",13701.141010922
"921",14831.116638259
"922",24696.5882935371
"923",16628.7880772678
"924",19266.46258911
"925",96989.1034008656
"926",19911.0315316645
"927",36711.1300125853
"928",78418.0993418152
"929",50540.3995016848
"930",33928.7983849916
"931",42126.1052897707
"932",49787.5442954849
"933",19926.6346596891
"934",21995.3374111323
"935",75170.6801101508
"936",37408.2153787166
"937",36361.5627879337
"938",17629.8218107912
"939",19828.9352654354
"940",63870.0051832926
"941",66559.0010032257
"942",29238.55572584
"943",15226.5855691983
"944",49116.0062000491
"945",11990.9092967203
"946",22745.1108445466
"947",21697.7562195532
"948",32428.1625881407
"949",49316.9471971705
"950",24505.4957946769
"951",9996.8659469802
"952",32632.8048216006
"953",77296.4270954503
"954",64536.7680126017
"955",23397.3201854637
"956",21304.888836462
"957",50952.8252533049
"958",99091.7408870553
"959",15388.6125553858
"960",20369.6391556638
"961",81818.9053415879
"962",45761.4071248153
"963",21412.0462691418
"964",15025.9292831049
"965",24391.8109708718
"966",33935.0030242752
"967",29950.6559266086
"968",56707.6958801175
"969",38457.6934665392
"970",71533.3991288802
"971",15877.7683338522
"972",25256.6470390769
"973",9700.24638885135
"974",37544.96901618
"975",51030.9992005093
"976",66152.1539960327
"977",65263.8492491025
"978",62901.0780361947
"979",19602.4314224705
"980",10757.1779167835
"981",28684.8194402017
"982",32014.9339102641
"983",88892.5093535853
"984",32551.2656510438
"985",12089.9554068468
"986",42982.0839538429
"987",44605.7504707376
"988",16437.3345492224
"989",42119.6461922231
"990",21875.0391705276
"991",39323.6025352407
"992",53181.1309452207
"993",61022.258983386
"994",29581.9961293245
"995",45736.3782974287
"996",12716.0732966997
"997",55508.9460821728
"998",51164.5545017484
"999",61319.0416059399
"1000",25301.1757567826
"1001",16359.319887822
"1002",8301.50277598262
"1003",14261.0343126717
"1004",24042.8651475211
"1005",18591.4997671257
"1006",36492.7353909148
"1007",18012.6573467406
"1008",10662.0621868854
"1009",20814.3352163419
"1010",4364.32214037644
"1011",81708.6921505777
"1012",9942.13208488565
"1013",68924.4100259808
"1014",28116.0985400763
"1015",13002.4092388668
"1016",21080.8350416583
"1017",24404.8768434154
"1018",25944.6022839426
"1019",102476.334308859
"1020",51464.6289240417
"1021",8616.761602016
"1022",21712.150142065
"1023",21420.225282672
"1024",6669.43674400364
"1025",41355.3217837222
"1026",65480.9604483507
"1027",24298.0212100803
"1028",198213.721061108
"1029",24025.8167215554
"1030",24767.1207502875
"1031",40522.0919083265
"1032",29817.22958415
"1033",34495.9548813998
"1034",9231.68531551014
"1035",18040.8002778055
"1036",9212.82861113324
"1037",28604.3621869566
"1038",18725.1416940342
"1039",61064.8084979167
"1040",34702.2812136845
"1041",11728.793408519
"1042",98535.4108908498
"1043",56095.4990912249
"1044",32871.1371965231
"1045",31864.4517688756
"1046",15883.5433504241
"1047",26557.83300216
"1048",26504.3102598937
"1049",12981.1926630704
"1050",36599.7824440674
"1051",25621.6068644491
"1052",21681.6691447026
"1053",41492.1222351948
"1054",37972.132025305
"1055",61477.6681086408
"1056",46187.1158612986
"1057",7805.17240605205
"1058",39915.3078404601
"1059",41651.4485481297
"1060",33181.5443796382
"1061",27206.9859616248
"1062",33154.0247636877
"1063",9186.53578646916
"1064",92193.6923994643
"1065",30856.5934724024
"1066",14136.0548438862
"1067",13879.1800384854
"1068",12715.6596922111
"1069",34921.2934343872
"1070",29393.1715201435
"1071",11188.1926200987
"1072",15056.096641109
"1073",52611.8611856432
"1074",34672.5123816981
"1075",49761.431064753
"1076",20300.3554606685
"1077",33880.160922893
"1078",34250.0980915142
"1079",35482.9087570811
"1080",40540.3092727949
"1081",46254.0552257523
"1082",53887.6309040395
"1083",56469.9200375875
"1084",121712.713727907
"1085",43365.1423838871
"1086",44933.7591283221
"1087",5214.22210643461
"1088",51932.4880366486
"1089",25259.7286367909
"1090",30731.4399352679
"1091",20946.7006803468
"1092",118874.74952646
"1093",22020.6064611555
"1094",19277.5589803925
"1095",22497.0941146798
"1096",18545.2211079646
"1097",121119.456745821
"1098",26993.0377435103
"1099",34026.0212696269
"1100",23216.6435448887
"1101",79564.2012204056
"1102",27542.1877929556
"1103",45388.6194790509
"1104",37997.6200508279
"1105",28112.0740784644
"1106",36676.8720418086
"1107",40035.1487265627
"1108",37384.4622268994
"1109",42340.4786180467
"1110",68665.4582281123
"1111",29125.283293743
"1112",90331.1041443182
"1113",26413.7195264029
"1114",79800.122384402
"1115",38724.5127288108
"1116",53752.3498516211
"1117",17505.2814104007
"1118",58432.9714883948
"1119",19944.0207874438
"1120",39190.6265918216
"1121",72725.1374243624
"1122",9125.66927910402
"1123",13191.7881880637
"1124",24564.3255365063
"1125",48198.4987218442
"1126",15556.0991835819
"1127",46288.1791651078
"1128",26445.3244077258
"1129",27952.0236764182
"1130",16193.9977357169
"1131",33053.5614338499
"1132",33116.1964330518
"1133",15937.5845953303
"1134",83561.8952374115
"1135",18124.278681921
"1136",25225.1818100634
"1137",32095.1908031155
"1138",20908.1961587951
"1139",36184.3518756561
"1140",30842.1255102007
"1141",32007.9960271053
"1142",54634.2765711572
"1143",48652.0581274237
"1144",65686.9034569243
"1145",57059.5820459927
"1146",15079.2802974922
"1147",42303.5639135276
"1148",20381.081505872
"1149",17033.438634613
"1150",17822.2238599013
"1151",49270.2839193207
"1152",41189.3964722409
"1153",99445.0099740886
"1154",27585.4556706543
"1155",97394.0426265389
"1156",37306.5383091515
"1157",32484.5532936993
"1158",69333.778880235
"1159",24689.4313437264
"1160",41200.7965501858
"1161",33795.2380617246
"1162",10608.9903885575
"1163",71559.4119654845
"1164",35565.1332998638
"1165",20640.2659312267
"1166",95792.7015782795
"1167",12672.7140037257
"1168",38748.3258113345
"1169",20218.1309778323
"1170",41371.3779634715
"1171",28675.8022914577
"1172",10361.4730047201
"1173",18294.9695455744
"1174",12589.1302297734
"1175",48574.7473002876
"1176",66553.8695868425
"1177",31628.0578807326
"1178",24053.6136349575
"1179",19787.8793590059
"1180",7812.8018921499
"1181",160216.50241568
"1182",69025.3840897007
"1183",48200.5615642809
"1184",26216.6819004619
"1185",43009.9421699693
"1186",70504.5114062204
"1187",24888.6006202686
"1188",12746.226141742
"1189",27657.8087275497
"1190",11001.1001869342
"1191",15440.6719999177
"1192",40226.1634694158
"1193",8520.00527987498
"1194",38786.9153513262
"1195",17260.5208611764
"1196",20592.0283585262
"1197",21677.6369637536
"1198",36745.4137197279
"1199",32656.4145988003
"1200",13073.8334732143
"1201",75557.7388814372
"1202",47564.2561608203
"1203",56934.9541206479
"1204",11321.3680890283
"1205",20072.7420697149
"1206",128511.009656081
"1207",54982.523953557
"1208",40064.5697917508
"1209",74754.0684256787
"1210",34045.3168176623
"1211",73373.7761071336
"1212",31384.9600104905
"1213",22279.038207627
"1214",40822.1660885669
"1215",33940.3425367625
"1216",43817.2770999948
"1217",24858.5888825791
"1218",39111.6306253749
"1219",31642.5066497214
"1220",7864.65745540641
"1221",39825.0672186311
"1222",13477.8562718233
"1223",28332.2011690649
"1224",7017.19116112623
"1225",23071.0678635191
"1226",15112.8505549516
"1227",29112.0067352168
"1228",27959.4363320378
"1229",15338.8816281534
"1230",56910.8398877602
"1231",39903.8104566357
"1232",18395.917738592
"1233",43265.9553764709
"1234",46476.763053683
"1235",76139.3868904858
"1236",51283.7987361708
"1237",40235.3237162862
"1238",23907.3142051524
"1239",47981.4127817236
"1240",30068.8094120656
"1241",40331.9469704658
"1242",21428.690469203
"1243",10150.1237988999
"1244",46546.2583225986
"1245",11316.4941013365
"1246",34838.8765225571
"1247",14333.331984959
"1248",17081.6269530097
"1249",17833.5854648189
"1250",7598.84318822926
"1251",40792.3739640353
"1252",28874.9486704759
"1253",58948.8023941634
"1254",18201.8522608956
"1255",22951.7392543443
"1256",19254.3321734139
"1257",16765.4698362324
"1258",31959.4251685517
"1259",82918.7776647845
"1260",39778.8914419885
