"","Estimate"
"764",71303.6466016201
"765",66430.7100075784
"766",46030.3401785863
"767",52662.6018080569
"768",53499.2391771891
"769",60108.0877605788
"770",53686.7273666562
"771",39699.3705992217
"772",37439.3449953681
"773",27543.8606728864
"774",102269.35974095
"775",106201.131678572
"776",38070.8514105603
"777",90253.000540825
"778",126143.820989739
"779",90326.4839154102
"780",41918.3783191055
"781",61092.2258432376
"782",188916.449212201
"783",46681.3431010316
"784",91874.4486360791
"785",63490.4966797407
"786",63612.1806669576
"787",61712.5463045666
"788",95556.2200440343
"789",45015.9711382229
"790",87464.0572482951
"791",128727.481367058
"792",66502.2146113799
"793",121113.944054675
"794",15775.736174291
"795",60276.5306035681
"796",121094.119461711
"797",46847.1337018343
"798",116264.832470765
"799",78868.6270400774
"800",51911.6250990729
"801",44462.4365343391
"802",58510.0649654232
"803",153410.464954824
"804",120111.621412227
"805",41012.7737677182
"806",210884.277805448
"807",84641.9366072162
"808",47713.6769852103
"809",48820.5954888308
"810",54235.5893327153
"811",62316.5337212863
"812",108081.946695874
"813",66948.6458321242
"814",117327.190970047
"815",87161.9679821663
"816",77940.739390434
"817",97609.3052760225
"818",94113.1780238968
"819",46404.1516470828
"820",157870.224161164
"821",101479.906863086
"822",65512.3487766455
"823",165296.396341306
"824",135900.664421739
"825",113131.132918398
"826",80848.964694878
"827",58403.3040864422
"828",58636.8845982993
"829",77941.7765293535
"830",43078.8578557182
"831",153457.895745153
"832",46005.5984145336
"833",42940.5647374489
"834",50452.0748454971
"835",155002.876346599
"836",149732.994174759
"837",32880.1172630639
"838",172418.549042603
"839",98288.6426422667
"840",78254.1594169344
"841",21103.333333571
"842",222244.744008699
"843",35677.7526770217
"844",55596.6667129664
"845",70621.200792997
"846",49687.2915160298
"847",80739.3782782691
"848",51755.9106416531
"849",185170.87228295
"850",99038.5234188208
"851",45744.6980484
"852",117554.178746433
"853",160946.980513505
"854",94770.0206093086
"855",116795.053374329
"856",64332.433997885
"857",67319.2202039066
"858",116851.711264514
"859",151029.143133133
"860",90894.6553723977
"861",80368.2266469748
"862",136867.156540948
"863",96148.6642286341
"864",81605.140790818
"865",92867.2598285047
"866",108230.906152881
"867",60106.6579390169
"868",49582.5865166374
"869",155633.67275429
"870",80742.606913759
"871",112491.756524801
"872",39030.7972635331
"873",71617.581455671
"874",26518.3571494588
"875",65697.0448157745
"876",14030.2034919504
"877",99405.2110068912
"878",63762.2580526099
"879",96367.4751959753
"880",47817.6618382163
"881",94116.0307736332
"882",175374.997238202
"883",61893.2501466227
"884",84385.0149663063
"885",130942.515216543
"886",62543.8910877716
"887",143881.787058364
"888",84140.4302740628
"889",124386.995312912
"890",25688.1455606111
"891",133745.276000499
"892",73884.4505925451
"893",71528.7720777072
"894",25077.5610491056
"895",76594.7504349621
"896",121470.877122806
"897",94634.940268234
"898",211038.566931858
"899",19788.7084462142
"900",36454.7605243563
"901",84775.6920682242
"902",62098.69390934
"903",199961.738546919
"904",74472.3991997702
"905",19445.7352622631
"906",93614.4545722823
"907",197786.621994583
"908",123222.191736171
"909",107111.588190785
"910",55830.1384481209
"911",62732.8550395992
"912",36735.9116132814
"913",85827.4635377048
"914",117006.831433582
"915",123683.525857323
"916",55470.9281747187
"917",87788.8694994328
"918",72788.4657742212
"919",138612.799486359
"920",127788.807160803
"921",61826.0580341223
"922",45720.4465956591
"923",41537.783913454
"924",53073.4888647281
"925",71506.8429548023
"926",32393.6198309432
"927",92868.6228615909
"928",154933.429985662
"929",78635.5034613215
"930",49691.1409814662
"931",53550.3669043603
"932",30018.9193421357
"933",73230.9369846646
"934",161242.751069799
"935",59596.89958011
"936",48091.530307961
